session_id,timestamp,department,note_type,note_word_count,summary_word_count,question,answer_tokens,response_latency_sec
SID10000,2024-01-01 00:00:00,General Medicine,Discharge Summary,782,67,What is the follow-up recommendation?,14,0.79
SID10001,2024-01-01 01:00:00,Pediatrics,Radiology Report,309,79,What is the follow-up recommendation?,17,3.39
SID10002,2024-01-01 02:00:00,Oncology,Discharge Summary,855,111,What is the follow-up recommendation?,11,1.75
SID10003,2024-01-01 03:00:00,Pediatrics,Discharge Summary,156,59,What medications were prescribed?,15,1.63
SID10004,2024-01-01 04:00:00,Pediatrics,Progress Note,899,108,What medications were prescribed?,17,3.92
SID10005,2024-01-01 05:00:00,Neurology,Discharge Summary,488,80,What is the follow-up recommendation?,12,1.2
SID10006,2024-01-01 06:00:00,Oncology,Consult Note,814,92,What symptoms are mentioned?,18,2.93
SID10007,2024-01-01 07:00:00,Oncology,Consult Note,644,81,What is the diagnosis?,9,3.38
SID10008,2024-01-01 08:00:00,Oncology,Radiology Report,398,67,What is the diagnosis?,19,0.64
SID10009,2024-01-01 09:00:00,Pediatrics,Discharge Summary,336,117,What is the diagnosis?,9,2.85
SID10010,2024-01-01 10:00:00,General Medicine,Radiology Report,986,108,What medications were prescribed?,16,3.83
SID10011,2024-01-01 11:00:00,Oncology,Consult Note,992,59,What medications were prescribed?,17,0.93
SID10012,2024-01-01 12:00:00,Pediatrics,Discharge Summary,917,80,What symptoms are mentioned?,9,3.64
SID10013,2024-01-01 13:00:00,Neurology,Discharge Summary,392,110,What is the diagnosis?,11,2.58
SID10014,2024-01-01 14:00:00,General Medicine,Radiology Report,181,34,What is the diagnosis?,18,2.66
SID10015,2024-01-01 15:00:00,Neurology,Consult Note,715,58,What is the follow-up recommendation?,10,2.65
SID10016,2024-01-01 16:00:00,General Medicine,Discharge Summary,999,33,What medications were prescribed?,9,1.55
SID10017,2024-01-01 17:00:00,Pediatrics,Radiology Report,848,39,What is the diagnosis?,5,3.77
SID10018,2024-01-01 18:00:00,Cardiology,Consult Note,461,85,What symptoms are mentioned?,12,3.82
SID10019,2024-01-01 19:00:00,General Medicine,Radiology Report,516,46,What symptoms are mentioned?,9,2.69
SID10020,2024-01-01 20:00:00,Neurology,Progress Note,818,103,What is the diagnosis?,19,3.24
SID10021,2024-01-01 21:00:00,Pediatrics,Discharge Summary,138,46,What medications were prescribed?,16,2.64
SID10022,2024-01-01 22:00:00,General Medicine,Progress Note,296,113,What symptoms are mentioned?,5,2.2
SID10023,2024-01-01 23:00:00,Cardiology,Consult Note,731,117,What is the follow-up recommendation?,14,2.81
SID10024,2024-01-02 00:00:00,Cardiology,Progress Note,515,98,What symptoms are mentioned?,15,2.44
SID10025,2024-01-02 01:00:00,Oncology,Progress Note,564,63,What is the treatment plan?,4,2.59
SID10026,2024-01-02 02:00:00,Oncology,Consult Note,352,35,What is the treatment plan?,5,3.24
SID10027,2024-01-02 03:00:00,Neurology,Radiology Report,195,82,What medications were prescribed?,7,2.18
SID10028,2024-01-02 04:00:00,General Medicine,Progress Note,384,95,What is the diagnosis?,13,0.64
SID10029,2024-01-02 05:00:00,General Medicine,Radiology Report,574,106,What medications were prescribed?,10,1.07
SID10030,2024-01-02 06:00:00,Oncology,Progress Note,915,72,What medications were prescribed?,14,2.04
SID10031,2024-01-02 07:00:00,General Medicine,Radiology Report,837,104,What medications were prescribed?,9,3.04
SID10032,2024-01-02 08:00:00,General Medicine,Consult Note,854,52,What medications were prescribed?,17,2.58
SID10033,2024-01-02 09:00:00,Cardiology,Progress Note,503,84,What is the follow-up recommendation?,19,2.78
SID10034,2024-01-02 10:00:00,Oncology,Consult Note,683,109,What is the follow-up recommendation?,6,2.18
SID10035,2024-01-02 11:00:00,Pediatrics,Progress Note,970,104,What symptoms are mentioned?,15,2.66
SID10036,2024-01-02 12:00:00,Oncology,Consult Note,625,45,What is the treatment plan?,3,1.65
SID10037,2024-01-02 13:00:00,Pediatrics,Consult Note,486,37,What medications were prescribed?,18,2.15
SID10038,2024-01-02 14:00:00,Cardiology,Progress Note,263,33,What symptoms are mentioned?,15,3.1
SID10039,2024-01-02 15:00:00,Neurology,Progress Note,188,33,What is the treatment plan?,12,3.55
SID10040,2024-01-02 16:00:00,General Medicine,Progress Note,218,85,What is the diagnosis?,14,2.02
SID10041,2024-01-02 17:00:00,Cardiology,Discharge Summary,515,54,What is the follow-up recommendation?,4,0.65
SID10042,2024-01-02 18:00:00,General Medicine,Radiology Report,144,96,What is the treatment plan?,5,1.07
SID10043,2024-01-02 19:00:00,Neurology,Discharge Summary,588,96,What is the diagnosis?,12,0.57
SID10044,2024-01-02 20:00:00,Neurology,Discharge Summary,603,56,What is the treatment plan?,4,2.79
SID10045,2024-01-02 21:00:00,Cardiology,Consult Note,684,61,What is the follow-up recommendation?,15,1.66
SID10046,2024-01-02 22:00:00,Neurology,Progress Note,270,79,What is the follow-up recommendation?,15,2.4
SID10047,2024-01-02 23:00:00,Pediatrics,Radiology Report,263,90,What symptoms are mentioned?,5,2.23
SID10048,2024-01-03 00:00:00,Neurology,Consult Note,688,80,What medications were prescribed?,9,0.79
SID10049,2024-01-03 01:00:00,General Medicine,Discharge Summary,158,48,What is the treatment plan?,16,1.91
SID10050,2024-01-03 02:00:00,General Medicine,Progress Note,228,50,What is the treatment plan?,19,1.27
SID10051,2024-01-03 03:00:00,General Medicine,Consult Note,812,34,What is the diagnosis?,14,1.96
SID10052,2024-01-03 04:00:00,General Medicine,Progress Note,161,111,What is the follow-up recommendation?,18,1.21
SID10053,2024-01-03 05:00:00,Pediatrics,Consult Note,305,71,What is the treatment plan?,14,3.44
SID10054,2024-01-03 06:00:00,Oncology,Progress Note,517,90,What is the follow-up recommendation?,17,1.11
SID10055,2024-01-03 07:00:00,Cardiology,Discharge Summary,342,51,What is the treatment plan?,12,3.86
SID10056,2024-01-03 08:00:00,General Medicine,Radiology Report,753,50,What symptoms are mentioned?,9,1.96
SID10057,2024-01-03 09:00:00,Neurology,Discharge Summary,252,99,What medications were prescribed?,7,3.46
SID10058,2024-01-03 10:00:00,General Medicine,Radiology Report,282,30,What is the treatment plan?,3,2.7
SID10059,2024-01-03 11:00:00,Neurology,Progress Note,334,34,What is the follow-up recommendation?,19,3.07
SID10060,2024-01-03 12:00:00,Neurology,Consult Note,852,41,What symptoms are mentioned?,5,3.19
SID10061,2024-01-03 13:00:00,General Medicine,Discharge Summary,354,119,What is the treatment plan?,15,2.27
